theta_bar,x_c,y_c,vx_c,vy_c,t_bar,nx_s,ny_s,nz_s,lam_x,lam_y,lam_vx,lam_vy,lam_t_bar
7.499999999999999722e-03,-1.000204663286778040e+00,3.674692318159226246e-16,1.144798504050446685e-04,-9.998667372604295167e-01,7.501742262828612652e-03,6.535585120889090271e-01,-2.066389921644666006e-01,-7.281219665642457706e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.765339312213043993e-02,2.313239287783182885e+00,0.000000000000000000e+00
7.749999999999999944e-03,-9.878719095343625467e-01,-1.564635395039314925e-01,1.565396066574893663e-01,-9.875573084114861455e-01,7.751821936576737924e-03,6.845492864749050943e-01,-2.801267434638124998e-01,-6.729942659362394553e-01,0.000000000000000000e+00,0.000000000000000000e+00,-3.102494433109045935e-01,2.277375543205973241e+00,0.000000000000000000e+00
8.000000000000000167e-03,-9.512141708005819041e-01,-3.090682194289605667e-01,3.091131967211222520e-01,-9.509294108669206214e-01,8.001891459778854437e-03,7.116781980895001691e-01,-3.452313190913992025e-01,-6.118247123829623213e-01,0.000000000000000000e+00,0.000000000000000000e+00,-6.568779129903880021e-01,2.186012113659795197e+00,0.000000000000000000e+00
8.250000000000000389e-03,-8.911356825650698088e-01,-4.540563092194924155e-01,4.540783942324898015e-01,-8.908849875125511852e-01,8.251950270624896708e-03,7.351420302505121684e-01,-4.023342731068559885e-01,-5.456128004755137484e-01,0.000000000000000000e+00,0.000000000000000000e+00,-9.837639526026669134e-01,2.041981178405091857e+00,0.000000000000000000e+00
8.500000000000000611e-03,-8.091173324059456329e-01,-5.878581521391691433e-01,5.878657017859592049e-01,-8.089025856002601822e-01,8.501998100322422439e-03,7.552322648165117336e-01,-4.515310646193768096e-01,-4.751251665233218735e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.283101935769973112e+00,1.849362753220199940e+00,0.000000000000000000e+00
8.750000000000000833e-03,-7.071800260515007652e-01,-7.071800260515015424e-01,7.071808778786018435e-01,-7.070009452546048845e-01,8.752034987652004133e-03,7.723042447817534129e-01,-4.926748067528157748e-01,-4.010208077932628234e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.547917121656185113e+00,1.613332213802415094e+00,0.000000000000000000e+00
9.000000000000001055e-03,-5.878347749202385009e-01,-8.090851564244603278e-01,8.090860546511080553e-01,-5.876892853566528796e-01,9.002061284813621042e-03,7.867557568692564729e-01,-5.254207996796190772e-01,-3.239573464163348904e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.772198746749846121e+00,1.339990732916931160e+00,0.000000000000000000e+00
9.249999999999999542e-03,-4.540207507012695154e-01,-8.910658950436435299e-01,8.910720783538741419e-01,-4.539055117904553516e-01,9.252077654233886728e-03,7.990119859675415270e-01,-5.492806817454223278e-01,-2.446846520350000331e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.950998269044921019e+00,1.036186925272291059e+00,0.000000000000000000e+00
9.499999999999999764e-03,-3.090328453202972891e-01,-9.511053004887041196e-01,9.511202914779216533e-01,-3.089438703286227494e-01,9.502085056365414464e-03,8.095139760506416815e-01,-5.636934410349694335e-01,-1.641244257045137711e-01,0.000000000000000000e+00,0.000000000000000000e+00,-2.080495216427670879e+00,7.093368338223746683e-01,0.000000000000000000e+00
9.749999999999999986e-03,-1.564405280624987238e-01,-9.877266210111679268e-01,9.877522356936078163e-01,-1.563738261375957894e-01,9.752084728849917325e-03,8.187079219838409028e-01,-5.681170451526122989e-01,-8.342878093299610498e-02,0.000000000000000000e+00,0.000000000000000000e+00,-2.158034498146047753e+00,3.672477965477072837e-01,0.000000000000000000e+00
