vx,vy,vz
2.936986328143917945e+03,2.865337308204204874e+03,1.754501191566094803e+03
2.470895734154319598e+03,2.940947171113383774e+03,2.271562280789834404e+03
1.943968374853267505e+03,2.944143899004979630e+03,2.732689851730988721e+03
1.369179629254318570e+03,2.874849733288564039e+03,3.126530258654446243e+03
7.606831167002983420e+02,2.734771753906768026e+03,3.443386727567767593e+03
1.334622177892281343e+02,2.527359814570238996e+03,3.675458050804476898e+03
-4.970388151249048860e+02,2.257721582421891526e+03,3.817030614197920386e+03
-1.115295080265289016e+03,1.932496776218791865e+03,3.864619036553731348e+03
-1.706083227689172645e+03,1.559693699300509024e+03,3.817051965100135931e+03
-2.254856238791992837e+03,1.148492089037488768e+03,3.675500918231927699e+03
-2.748101566402076060e+03,7.090171309986905044e+02,3.443451465182044103e+03
-3.173673825746891453e+03,2.520901940411329747e+02,3.126617447484253717e+03
-3.521093849344054888e+03,-2.110375848684360847e+02,2.732800345338433544e+03
-3.781806741789037005e+03,-6.689623136975441184e+02,2.271697240046245042e+03
-3.949392574505701759e+03,-1.110408140152837859e+03,1.754662088810306386e+03
-4.019724522021453140e+03,-1.524504915419206782e+03,1.194426179157027263e+03
-3.991070532081882902e+03,-1.901055888267012733e+03,6.047846366778733227e+02
-3.864136007756123490e+03,-2.230788834551709442e+03,2.566945674208442885e-01
-3.642046425295183326e+03,-2.505584427584842615e+03,-6.042719153093311206e+02
-3.330270304517344812e+03,-2.718676190427584061e+03,-1.193915600460417409e+03
-2.936484480587319013e+03,-2.864817070659782075e+03,-1.754155447982309170e+03
-2.470385061912706533e+03,-2.940408571927958292e+03,-2.271196637145939803e+03
-1.943448718412762219e+03,-2.943589322638183148e+03,-2.732308022859516768e+03
-1.368650136035118749e+03,-2.874280909159381736e+03,-3.126135577039630789e+03
-7.601425730974784756e+02,-2.734189827100572984e+03,-3.442981961850372500e+03
-1.329093775446264658e+02,-2.526765487423784634e+03,-3.675045333780853070e+03
4.976049548433929886e+02,-2.257115302071142651e+03,-3.816611485050099873e+03
1.115875094026602483e+03,-1.931878934730807032e+03,-3.864194580973595748e+03
1.706677191361181713e+03,-1.559064810980807579e+03,-3.816623020249468937e+03
2.255463777044361905e+03,-1.147852913971476482e+03,-3.675068299193232178e+03
