nx,ny,nz
6.080468223863569888e-01,-6.952331658826771399e-01,-3.833143707749602780e-01
6.839807247014509928e-01,-6.236856257095751976e-01,-3.784000641122216013e-01
7.523789925923470845e-01,-5.488436306577458845e-01,-3.642753362391538130e-01
8.124523422737582878e-01,-4.721780812740111188e-01,-3.420073845668796242e-01
8.637963789262377290e-01,-3.949869377298225182e-01,-3.127956757641274232e-01
9.063379725008786636e-01,-3.183435877390290436e-01,-2.778647868090515782e-01
9.402607809966014862e-01,-2.430778390918553467e-01,-2.383753927361105807e-01
9.659233484322837793e-01,-1.697840320742249887e-01,-1.953598408219649474e-01
9.837803855416604737e-01,-9.884837781328296991e-02,-1.496835035238834044e-01
9.943140959805176760e-01,-3.048743090126524585e-02,-1.020293834710696429e-01
9.979788314339869126e-01,3.520915605368515194e-02,-5.290148712126434977e-02
9.951595843718715750e-01,9.823655711987454298e-02,-2.642059431127243702e-03
9.861430936255440871e-01,1.586364209018635008e-01,4.854157865261905097e-02
9.710995974597614877e-01,2.164637413596199877e-01,1.005436248107498820e-01
9.500733124164725263e-01,2.717594816557595827e-01,1.533215091374480754e-01
9.229802591653927246e-01,3.245291332111693294e-01,2.068532883185369431e-01
8.896127767790276142e-01,3.747276184903949869e-01,2.610906343246058858e-01
8.496506099160581194e-01,4.222516124230747403e-01,3.159072915831220296e-01
8.026784349620025294e-01,4.669412485683278602e-01,3.710433942713456945e-01
7.482087570454720726e-01,5.085939848607257119e-01,4.260467280052244177e-01
6.857070682964797603e-01,5.469937956104640175e-01,4.802120407194145346e-01
6.146131672422556758e-01,5.819586080119123483e-01,5.325174487406779678e-01
5.343492121281191443e-01,6.134080708436742135e-01,5.815509075927062232e-01
4.443024957079256265e-01,6.414526076467997884e-01,6.254069430785281769e-01
3.437709363189637157e-01,6.665030129725114660e-01,6.615098465185133003e-01
2.318669004562353975e-01,6.893943048257487050e-01,6.862748960486905192e-01
1.074084059691840648e-01,7.114941741264163566e-01,6.944346438012202194e-01
-3.104661284363543008e-02,7.346762659669718865e-01,6.777070842596855105e-01
-1.844147940430770072e-01,7.607273490792202386e-01,6.223223313532558754e-01
-3.495184402835594950e-01,7.888637555242438149e-01,5.055005787552905305e-01
-5.079769405768270740e-01,8.088089587250208989e-01,2.962895477878927375e-01
-6.088563081307608593e-01,7.931040165391148866e-01,-1.673364870263991180e-02
-5.908738761661592731e-01,7.195260184216961674e-01,-3.648977545540656453e-01
-4.658992653043225740e-01,6.175674650450810876e-01,-6.336783890166091116e-01
-3.044047901272699530e-01,5.353482927039826533e-01,-7.878705028407292366e-01
-1.522993400721024959e-01,4.895308275615071203e-01,-8.585828322768560561e-01
-2.262681145587365494e-02,4.752890709323070451e-01,-8.795387009425137403e-01
8.448512587382249472e-02,4.837154904261759536e-01,-8.711380991713361110e-01
1.717404435204330226e-01,5.074510575537224399e-01,-8.443924705058740710e-01
2.418114787474426319e-01,5.412211956153155645e-01,-8.053613016297116456e-01
2.968228530548791544e-01,5.813302043775757655e-01,-7.575957941954849506e-01
3.383941498710177354e-01,6.251560117990524468e-01,-7.033273492795329984e-01
3.677585888040180162e-01,6.707921048645475448e-01,-6.440431448375698587e-01
3.858546948275181077e-01,7.168067050421790265e-01,-5.807790475612366610e-01
3.933838622608409330e-01,7.620764567937727829e-01,-5.142845621962540692e-01
3.908465467951173222e-01,8.056655852618649361e-01,-4.451313756443020520e-01
3.785708439027888339e-01,8.467342717148949038e-01,-3.737983269761609995e-01
3.567443275360142607e-01,8.844686219506031621e-01,-3.007469726459070514e-01
3.254567569833370366e-01,9.180300372551828403e-01,-2.264922736676388271e-01
2.847580884983408334e-01,9.465251463991175562e-01,-1.516673276249700664e-01
2.347328210482203803e-01,9.689992736932577788e-01,-7.707730083937226750e-02
1.755876513753163171e-01,9.844567161910379172e-01,-3.735054331409400595e-03
1.077446276466534625e-01,9.919095737639392896e-01,6.713041552623053021e-02
3.192703863778360851e-02,9.904532327864773444e-01,1.341009241826376097e-01
-5.077847631706675080e-02,9.793610553191260948e-01,1.956360643315153136e-01
-1.389007229292272272e-01,9.581844942511826835e-01,2.501780648784845407e-01
-2.306165191189258612e-01,9.268398658927684552e-01,2.962834522907836221e-01
-3.238403951490251287e-01,8.856619175413720235e-01,3.327617259942361461e-01
-4.163619455637675992e-01,8.354088859954732493e-01,3.587962144256217067e-01
-5.060091848832118933e-01,7.772136235990034780e-01,3.740236464529137494e-01
-5.908093056753873640e-01,7.124877448830427840e-01,3.785572317613850046e-01
-6.691192594868874410e-01,6.427963643149284811e-01,3.729507348259671895e-01
-7.397070570396013789e-01,5.697262369781986857e-01,3.581137873141344574e-01
-8.017771519131465796e-01,4.947687463696343602e-01,3.351973840677514582e-01
-8.549452452755218479e-01,4.192326674845227585e-01,3.054711084449547309e-01
-8.991759450658790565e-01,3.441929878337290361e-01,2.702106714046906277e-01
-9.346997340817336797e-01,2.704742515081181575e-01,2.306080796040319847e-01
-9.619244123309970140e-01,1.986616885531218846e-01,1.877097718897131617e-01
-9.813523394713299375e-01,1.291311992094381356e-01,1.423822994788319363e-01
-9.935102047345873988e-01,6.208949718684622643e-02,9.530145553622369758e-02
-9.988939669903641461e-01,-2.382600755694050648e-03,4.695919424236793399e-02
-9.979286617825650074e-01,-6.428853935428870126e-02,-2.317261433522635906e-03
-9.909410820895550032e-01,-1.236787580173974305e-01,-5.233867253241775847e-02
-9.781427221973540975e-01,-1.806189010306631648e-01,-1.030224616422321104e-01
-9.596205321307881286e-01,-2.351636170937472237e-01,-1.543583736258207217e-01
-9.353336595196790615e-01,-2.873356670889388176e-01,-2.063714122355117808e-01
-9.051151843916115380e-01,-3.371102045620353316e-01,-2.590814793918733705e-01
-8.686786249830529272e-01,-3.844046913561224299e-01,-3.124587648969971432e-01
-8.256294327356882290e-01,-4.290758569094796360e-01,-3.663740558745139375e-01
-7.754814812245836020e-01,-4.709262607960303937e-01,-4.205436114963523320e-01
-7.176773439076499228e-01,-5.097241925936750739e-01,-4.744686264932453934e-01
-6.516086727052423644e-01,-5.452416794481260709e-01,-5.273686079469455112e-01
-5.766291254037330116e-01,-5.773162810270827672e-01,-5.781044571677201871e-01
-4.920471413600103205e-01,-6.059434993104042544e-01,-6.250776642329368693e-01
-3.970797312313818495e-01,-6.314087011506058777e-01,-6.660711216953625335e-01
-2.907425565335540196e-01,-6.544704236989454804e-01,-6.979521690801283595e-01
-1.716532539471628815e-01,-6.766051334448569543e-01,-7.160591133456918334e-01
-3.777392209589086614e-02,-7.002836717428659874e-01,-7.128645803375445178e-01
1.135890378409261520e-01,-7.290134930813939595e-01,-6.750087831929575399e-01
2.837842472151314577e-01,-7.657732418223053283e-01,-5.771116383694737673e-01
4.615391720858392222e-01,-8.045421131043394292e-01,-3.737560445958331146e-01
5.889355040802141117e-01,-8.078975526144007713e-01,-2.136624706038550009e-02
5.638352426688542085e-01,-7.222726300556829848e-01,4.005147525335374104e-01
4.003051292199607536e-01,-5.898591686681053936e-01,7.013001958208496811e-01
2.114923247139248730e-01,-4.925236996202096429e-01,8.442105198938955057e-01
4.972608031251300742e-02,-4.465505999682380933e-01,8.933755529477848123e-01
-8.000873131449520725e-02,-4.384457289043500183e-01,8.951893351235694629e-01
-1.829109298995706956e-01,-4.545713013321288631e-01,8.717273218894134867e-01
-2.640244563917351073e-01,-4.856616157011449664e-01,8.333209954522940999e-01
