x,y,z
1.012404803730656765e+07,-5.154588403739001602e+06,-1.649956539504998922e+07
1.233840164076905884e+07,-3.181600990832350682e+06,-1.545777074925015122e+07
1.424895152109211497e+07,-1.130274707615679363e+06,-1.403536605598223768e+07
1.580866288343543373e+07,9.488848637917304877e+05,-1.226737636123163812e+07
1.697913913041770458e+07,3.004689398011961952e+06,-1.019733172431425378e+07
1.773156546684922650e+07,4.986527202317305841e+06,-7.876195339682345279e+06
1.804741687045549601e+07,6.845608104222343303e+06,-5.361109326168793254e+06
1.791891322351030633e+07,8.536163380844583735e+06,-2.713988988502008840e+06
1.734921055891567841e+07,1.001657138641744480e+07,-2.974531725019334723e-08
1.635232378015912324e+07,1.125038135585209168e+07,2.714044229251957964e+06
1.495278272240805440e+07,1.220721033403643593e+07,5.361325806180243380e+06
1.318502988543337584e+07,1.286349124545976706e+07,7.876666037747316062e+06
1.109257444411484338e+07,1.320305370875477418e+07,1.019812930115870573e+07
8.726923088509693742e+06,1.321752323848202080e+07,1.226854776620064117e+07
6.146313725354976021e+06,1.290652887426940165e+07,1.403692948561767675e+07
3.414282955565955956e+06,1.227771393937631883e+07,1.545971513383611292e+07
5.981024028430425096e+05,1.134654945018916391e+07,1.650185230035715550e+07
-2.232877705336126499e+06,1.013595456127890386e+07,1.713766065828334168e+07
-5.008936907107075676e+06,8.675733215016366914e+06,1.735146643003273010e+07
-7.661702628872309811e+06,7.001840747269803658e+06,1.713799023375013843e+07
-1.012583550507142209e+07,5.155498480476917699e+06,1.650247850264965184e+07
-1.234064013725314848e+07,3.182178213299119845e+06,1.546057517777181230e+07
-1.425156152093460970e+07,1.130481741572118364e+06,1.403793693308433704e+07
-1.581153022878194228e+07,-9.490569707320691086e+05,1.226960139473267272e+07
-1.698212308589427173e+07,-3.005217449482442345e+06,1.019912382835500687e+07
-1.773451057724635303e+07,-4.987355435624503531e+06,7.877503530142415315e+06
-1.805016748833655939e+07,-6.846651447554784827e+06,5.361926416131293401e+06
-1.792132915094457567e+07,-8.537314273816643283e+06,2.714354903575697448e+06
-1.735118199578611180e+07,-1.001770959602527693e+07,-2.977017738094231276e-08
-1.635378373838161863e+07,-1.125138580555527844e+07,-2.714286542897591367e+06
